12/10/17, AM : 5:00-11:59,(Heavy Traffic=1392, Other=201, Mechanical Problem=76), PM : 12:00-19:00,(Heavy Traffic=226, Mechanical Problem=24, Other=20)
19/10/17, AM : 5:00-11:59,(Heavy Traffic=1509, Other=192, Mechanical Problem=86), PM : 12:00-19:00,(Heavy Traffic=268, Other=40, Late return from Field Trip=24)
26/10/17, AM : 5:00-11:59,(Heavy Traffic=1565, Other=261, Mechanical Problem=77), PM : 12:00-19:00,(Heavy Traffic=284, Other=36, Late return from Field Trip=29)
02/11/17, AM : 5:00-11:59,(Heavy Traffic=659, Other=102, Mechanical Problem=39), PM : 12:00-19:00,(Heavy Traffic=138, Other=36, Mechanical Problem=31)
09/11/17, AM : 5:00-11:59,(Heavy Traffic=1370, Other=224, Mechanical Problem=113), PM : 12:00-19:00,(Heavy Traffic=155, Other=51, Mechanical Problem=25)
16/11/17, AM : 5:00-11:59,(Heavy Traffic=1236, Other=174, Mechanical Problem=70), PM : 12:00-19:00,(Heavy Traffic=148, Late return from Field Trip=53, Other=32)
23/11/17, AM : 5:00-11:59,(Heavy Traffic=672, Other=118, Mechanical Problem=70), PM : 12:00-19:00,(Heavy Traffic=78, Late return from Field Trip=38, Mechanical Problem=24)
30/11/17, AM : 5:00-11:59,(Heavy Traffic=1139, Other=178, Mechanical Problem=106), PM : 12:00-19:00,(Heavy Traffic=123, Other=40, Late return from Field Trip=27)
07/12/17, AM : 5:00-11:59,(Heavy Traffic=1367, Other=205, Mechanical Problem=145), PM : 12:00-19:00,(Heavy Traffic=261, Other=82, Late return from Field Trip=44)
14/12/17, AM : 5:00-11:59,(Heavy Traffic=2101, Other=286, Weather Conditions=204), PM : 12:00-19:00,(Heavy Traffic=273, Other=96, Late return from Field Trip=79)
21/12/17, AM : 5:00-11:59,(Heavy Traffic=436, Other=84, Mechanical Problem=49), PM : 12:00-19:00,(Heavy Traffic=152, Other=30, Mechanical Problem=14)
28/12/17, AM : 5:00-11:59,(Heavy Traffic=387, Mechanical Problem=91, Other=85), PM : 12:00-19:00,(Heavy Traffic=69, Other=26, Mechanical Problem=16)
04/01/18, AM : 5:00-11:59,(Heavy Traffic=1083, Weather Conditions=393, Mechanical Problem=218), PM : 12:00-19:00,(Heavy Traffic=161, Other=49, Late return from Field Trip=30)
11/01/18, AM : 5:00-11:59,(Heavy Traffic=933, Other=194, Mechanical Problem=96), PM : 12:00-19:00,(Heavy Traffic=135, Other=46, Late return from Field Trip=14)
18/01/18, AM : 5:00-11:59,(Heavy Traffic=1313, Other=316, Mechanical Problem=111), PM : 12:00-19:00,(Heavy Traffic=286, Other=53, Mechanical Problem=24)
25/01/18, AM : 5:00-11:59,(Heavy Traffic=1231, Other=287, Mechanical Problem=94), PM : 12:00-19:00,(Heavy Traffic=207, Other=52, Late return from Field Trip=23)
01/02/18, AM : 5:00-11:59,(Heavy Traffic=859, Other=177, Mechanical Problem=84), PM : 12:00-19:00,(Heavy Traffic=126, Other=66, Late return from Field Trip=17)
