01/09/15, AM : 5:00-11:59,(Heavy Traffic=4, Other=3)
14/12/15, AM : 5:00-11:59,(Heavy Traffic=165, Other=55, Mechanical Problem=8),PM : 12:00-19:00,(Heavy Traffic=16, Other=10, Late return from Field Trip=6)
15/12/15, AM : 5:00-11:59,(Heavy Traffic=134, Other=37, Mechanical Problem=10),PM : 12:00-19:00,(Heavy Traffic=13, Late return from Field Trip=9, Other=4)
16/12/15, AM : 5:00-11:59,(Heavy Traffic=156, Other=33, Flat Tire=7),PM : 12:00-19:00,(Heavy Traffic=13, Delayed by School=5, Mechanical Problem=4)
17/12/15, AM : 5:00-11:59,(Heavy Traffic=159, Other=33, Problem Run=18),PM : 12:00-19:00,(Heavy Traffic=31, Late return from Field Trip=17, Other=14)
18/12/15, AM : 5:00-11:59,(Heavy Traffic=121, Other=37, Mechanical Problem=12),PM : 12:00-19:00,(Late return from Field Trip=30, Heavy Traffic=20, Other=19)
21/12/15, AM : 5:00-11:59,(Heavy Traffic=133, Other=43, Won`t Start=8),PM : 12:00-19:00,(Heavy Traffic=13, Other=9, Mechanical Problem=2)
22/12/15, AM : 5:00-11:59,(Heavy Traffic=114, Other=32, Weather Conditions=13),PM : 12:00-19:00,(Heavy Traffic=35, Other=10, Late return from Field Trip=9)
23/12/15, AM : 5:00-11:59,(Heavy Traffic=69, Other=24, Weather Conditions=20),PM : 12:00-19:00,(Heavy Traffic=18, Weather Conditions=6, Other=4)
24/12/15, AM : 5:00-11:59,(Heavy Traffic=1)
28/12/15, AM : 5:00-11:59,(Mechanical Problem=2, Heavy Traffic=2, Other=1)
29/12/15, AM : 5:00-11:59,(Weather Conditions=1, Mechanical Problem=1),PM : 12:00-19:00,(Other=1)
30/12/15, AM : 5:00-11:59,(Heavy Traffic=3),PM : 12:00-19:00,(Heavy Traffic=1)
31/12/15, AM : 5:00-11:59,(Mechanical Problem=1),PM : 12:00-19:00,(Heavy Traffic=2)
04/01/16, AM : 5:00-11:59,(Heavy Traffic=200, Other=79, Won`t Start=27),PM : 12:00-19:00,(Heavy Traffic=19, Other=10, Won`t Start=3)
05/01/16, AM : 5:00-11:59,(Heavy Traffic=216, Other=74, Won`t Start=40),PM : 12:00-19:00,(Other=10, Heavy Traffic=8, Mechanical Problem=6)
06/01/16, AM : 5:00-11:59,(Heavy Traffic=131, Other=48, Won`t Start=13),PM : 12:00-19:00,(Heavy Traffic=15, Late return from Field Trip=5, Other=5)
07/01/16, AM : 5:00-11:59,(Heavy Traffic=137, Other=43, Mechanical Problem=11),PM : 12:00-19:00,(Heavy Traffic=33, Other=12, Delayed by School=4)
08/01/16, AM : 5:00-11:59,(Heavy Traffic=167, Other=51, Problem Run=17),PM : 12:00-19:00,(Heavy Traffic=5, Delayed by School=2, Other=2)
11/01/16, AM : 5:00-11:59,(Heavy Traffic=141, Other=47, Mechanical Problem=10),PM : 12:00-19:00,(Heavy Traffic=6, Other=2, Won`t Start=1)
12/01/16, AM : 5:00-11:59,(Heavy Traffic=298, Other=68, Mechanical Problem=9),PM : 12:00-19:00,(Other=8, Heavy Traffic=7, Mechanical Problem=4)
13/01/16, AM : 5:00-11:59,(Heavy Traffic=130, Other=42, Mechanical Problem=9),PM : 12:00-19:00,(Other=15, Heavy Traffic=14, Mechanical Problem=6)
14/01/16, AM : 5:00-11:59,(Heavy Traffic=111, Other=46, Won`t Start=12),PM : 12:00-19:00,(Heavy Traffic=12, Other=7, Late return from Field Trip=5)
15/01/16, AM : 5:00-11:59,(Heavy Traffic=119, Other=35, Mechanical Problem=7),PM : 12:00-19:00,(Heavy Traffic=17, Other=6, Mechanical Problem=4)
19/01/16, AM : 5:00-11:59,(Heavy Traffic=152, Other=60, Weather Conditions=36),PM : 12:00-19:00,(Heavy Traffic=29, Mechanical Problem=5, Other=4)
20/01/16, AM : 5:00-11:59,(Heavy Traffic=137, Other=38, Mechanical Problem=14),PM : 12:00-19:00,(Heavy Traffic=13, Late return from Field Trip=6, Other=4)
