25/05/17,LEESEL TRANSP CORP B2192, 101.2 ,PIONEER TRANSPORTATION CO, 53.9 ,NEW DAWN TRANSIT, LLC B2, 47.5 ,RELIANT TRANS INC. B232, 40.4 ,G.V.C. LTD., 31.6)
01/06/17,LEESEL TRANSP CORP B2192, 106.1 ,NEW DAWN TRANSIT, LLC B2, 83.7 ,PIONEER TRANSPORTATION CO, 58.7 ,RELIANT TRANS INC. B232, 43.8 ,G.V.C. LTD., 41.2)
08/06/17,LEESEL TRANSP CORP B2192, 94.6 ,G.V.C. LTD., 48.3 ,NEW DAWN TRANSIT, LLC B2, 34.1 ,PIONEER TRANSPORTATION CO, 32.3 ,RELIANT TRANS INC. B232, 31.7)
15/06/17,LEESEL TRANSP CORP B2192, 98.3 ,NEW DAWN TRANSIT, LLC B2, 55.9 ,G.V.C. LTD., 49.4 ,PIONEER TRANSPORTATION CO, 48.2 ,RELIANT TRANS INC. B232, 33.0)
22/06/17,LEESEL TRANSP CORP B2192, 56.4 ,PIONEER TRANSPORTATION CO, 34.5 ,NEW DAWN TRANSIT, LLC B2, 32.7 ,G.V.C. LTD., 32.6 ,RELIANT TRANS INC. B232, 27.0)
29/06/17,RELIANT TRANS INC., 23.5 ,HOYT TRANSPORTATION CORP., 10.7 ,G.V.C. LTD., 6.9 ,L & M BUS CORP., 6.6 ,PIONEER TRANSPORTATION CO, 5.4)
06/07/17,G.V.C. LTD., 50.5 ,HOYT TRANSPORTATION CORP., 30.8 ,PRIDE TRANSPORTATION SCH, 16.2 ,L & M BUS CORP., 14.1 ,ALL AMERICAN SCHOOL BUS C, 13.2)
13/07/17,PRIDE TRANSPORTATION SCH, 28.9 ,G.V.C. LTD., 27.4 ,HOYT TRANSPORTATION CORP., 23.8 ,L & M BUS CORP., 12.6 ,RELIANT TRANS INC., 12.3)
20/07/17,G.V.C. LTD., 33.4 ,PRIDE TRANSPORTATION SCH, 30.1 ,HOYT TRANSPORTATION CORP., 27.2 ,RELIANT TRANS INC., 15.9 ,L & M BUS CORP., 15.4)
27/07/17,PRIDE TRANSPORTATION SCH, 32.7 ,HOYT TRANSPORTATION CORP., 21.5 ,G.V.C. LTD., 20.4 ,RELIANT TRANS INC., 13.6 ,L & M BUS CORP., 12.5)
03/08/17,PRIDE TRANSPORTATION SCH, 20.3 ,HOYT TRANSPORTATION CORP., 13.9 ,G.V.C. LTD., 10.4 ,ALL AMERICAN SCHOOL BUS C, 6.2 ,L & M BUS CORP., 5.8)
31/08/17,RELIANT TRANS INC. B2321), 23.2 ,LEESEL TRANSP CORP B2192), 7.4 ,LOGAN BUS COMPANY INC., 5.1 ,L & M BUS CORP., 3.8 ,B & F SKILLED INC.B2192), 2.8)
07/09/17,RELIANT TRANS INC. B2321), 276.6 ,LEESEL TRANSP CORP B2192), 146.6 ,PIONEER TRANSPORTATION CORP, 57.5 ,VAN TRANS LLC B2192), 30.3 ,BORO TRANSIT INC., 24.3)
14/09/17,LEESEL TRANSP CORP B2192), 317.1 ,RELIANT TRANS INC. B2321), 187.9 ,PIONEER TRANSPORTATION CORP, 74.7 ,NEW DAWN TRANSIT, LLC B2321), 53.6 ,G.V.C. LTD., 32.1)
21/09/17,LEESEL TRANSP CORP B2192), 229.9 ,RELIANT TRANS INC. B2321), 114.7 ,PIONEER TRANSPORTATION CORP, 53.6 ,G.V.C. LTD., 33.2 ,BORO TRANSIT INC., 20.8)
28/09/17,LEESEL TRANSP CORP B2192), 366.7 ,RELIANT TRANS INC. B2321), 175.7 ,PIONEER TRANSPORTATION CORP, 72.7 ,NEW DAWN TRANSIT, LLC B2321), 54.0 ,VAN TRANS LLC B2192), 41.1)
05/10/17,LEESEL TRANSP CORP B2192), 285.4 ,RELIANT TRANS INC. B2321), 66.4 ,PIONEER TRANSPORTATION CORP, 61.1 ,NEW DAWN TRANSIT, LLC B2321), 29.8 ,G.V.C. LTD., 29.4)
12/10/17,LEESEL TRANSP CORP B2192), 218.8 ,RELIANT TRANS INC. B2321), 122.7 ,PIONEER TRANSPORTATION CORP, 85.2 ,G.V.C. LTD., 41.2 ,NEW DAWN TRANSIT, LLC B2321), 33.4)
