01/09/16,Westchester,24.379310344827587, Brooklyn,33.0961937716263, Rockland County,24.42, Connecticut,22.5, All Boroughs,41.666666666666664, New Jersey,24.5625, Staten Island,16.499121265377855, Bronx,21.873563218390803, Nassau County,31.614754098360656, Queens,28.007361963190185, Manhattan,30.466243050039715
01/10/16,Bronx,21.637542277339346, Manhattan,31.670861568247823, Westchester,32.3531746031746, Connecticut,16.25, All Boroughs,36.666666666666664, Queens,28.91755319148936, Rockland County,33.46153846153846, New Jersey,23.194444444444443, Brooklyn,33.32208363903155, Staten Island,17.63276836158192, Nassau County,35.891304347826086
01/11/16,All Boroughs,34.23076923076923, Bronx,22.083067092651756, New Jersey,27.804878048780488, Rockland County,31.333333333333332, Westchester,43.206422018348626, Manhattan,27.899167437557818, Nassau County,30.06382978723404, Connecticut,20.0, Queens,31.252777777777776, Staten Island,18.510526315789473, Brooklyn,33.084693084693086
01/12/16,All Boroughs,36.81818181818182, Brooklyn,26.458715596330276, Nassau County,32.225806451612904, Rockland County,50.0, Westchester,43.46022727272727, Manhattan,27.540570175438596, New Jersey,27.05128205128205, Connecticut,20.0, Staten Island,17.898954703832754, Queens,28.31105047748977, Bronx,22.229228486646885
01/01/17,Nassau County,31.425531914893618, Brooklyn,29.99408783783784, Rockland County,33.0, Westchester,47.67661691542288, All Boroughs,39.285714285714285, Queens,29.83140283140283, New Jersey,26.9, Connecticut,19.166666666666668, Manhattan,27.961844197138316, Bronx,24.01572617946346, Staten Island,23.112244897959183
01/02/17,Nassau County,35.50847457627118, Bronx,24.601724137931033, Queens,31.430176565008026, New Jersey,24.17391304347826, Connecticut,23.166666666666668, Manhattan,27.890887290167864, Rockland County,42.916666666666664, All Boroughs,45.0, Brooklyn,29.85677749360614, Westchester,42.708955223880594, Staten Island,23.478494623655912
01/03/17,Nassau County,40.65217391304348, Brooklyn,31.13442822384428, New Jersey,29.523809523809526, Connecticut,18.0, All Boroughs,30.384615384615383, Bronx,24.201463624623333, Westchester,45.484848484848484, Rockland County,43.75, Queens,32.092967818831944, Manhattan,29.084880636604776, Staten Island,23.138666666666666
01/04/17,Queens,30.92436974789916, Staten Island,22.829166666666666, Nassau County,39.49230769230769, Connecticut,20.0, New Jersey,24.46808510638298, Rockland County,40.3125, Westchester,48.72159090909091, All Boroughs,33.333333333333336, Brooklyn,31.285589519650657, Manhattan,27.11111111111111, Bronx,22.625806451612902
01/05/17,Rockland County,30.11111111111111, Manhattan,25.661913696060036, Westchester,41.30530973451327, Nassau County,35.9078947368421, New Jersey,23.846153846153847, Staten Island,24.783876500857634, All Boroughs,25.0, Connecticut,19.6, Bronx,22.806390081068194, Brooklyn,31.830321285140563, Queens,30.301075268817204
01/06/17,Nassau County,38.33783783783784, Brooklyn,31.72132616487455, Staten Island,24.35180055401662, All Boroughs,26.875, New Jersey,26.451612903225808, Bronx,24.050324675324674, Connecticut,16.25, Rockland County,43.0, Westchester,51.19753086419753, Manhattan,28.233252131546895, Queens,30.506986027944112
01/07/17,Rockland County,31.083333333333332, Westchester,28.292517006802722, Bronx,26.25075987841945, Staten Island,29.873417721518987, Connecticut,45.0, Manhattan,29.321083172147002, New Jersey,40.0, All Boroughs,25.0, Nassau County,27.657894736842106, Brooklyn,28.61662817551963, Queens,31.877637130801688
